siteName,siteStatus,siteState,siteAddress,siteZip,daysofOperation,lunchTime,_geoloc/lat,_geoloc/lng
Dunlap Elementary School,Open,WA,"4525 Cloverdale St, Seattle, WA 98118",98118,"M,T,W,TH",11:00am-1:00pm,47.52614579999999,-122.2893301
Emerson Elementary School,Open,WA,"9709 60th Ave, Seattle, WA 98118",98118,"M,T,W,TH",11:00am-1:00pm,,
Franklin High School,Open,WA,"3013 S Mt, Baker Blvd Seattle, WA 98144",98144,"M,T,W,TH",11:00am-1:00pm,47.458217,-122.2516543
Aki Kurose Middle School,Open,WA,"3928 Graham St, Seattle, WA 98118",98118,"M,T,W,TH",11:00am-1:00pm,,
Mercer Middle School,Open,WA,"1600 Columbian Way, Seattle, WA 98108",98108,"M,T,W,TH",11:00am-1:00pm,47.56414729999999,-122.3134974
Rainier Beach High School,Open,WA,"8815 Seward Park Ave, Seattle, WA 98118",98118,"M,T,W,TH",11:00am-1:00pm,47.5502603,-122.26485
Rainier View Elementary School,Open,WA,"11650 Beacon Ave, Seattle, WA 98178",98178,"M,T,W,TH",11:00am-1:00pm,47.552585,-122.300937
Rising Star @ African American Academy (Formerly Van Asselt Elementary),Open,WA,"8311 Beacon Ave, Seattle, WA 98118",98118,"M,T,W,TH",11:00am-1:00pm,47.552585,-122.300937
Concord International Elementary School,Open,WA,"723 Concord St, Seattle, WA 98108",98108,"M,T,W,TH",11:00am-1:00pm,47.617225,-122.3535
Denny International Middle School,Open,WA,"2601 Kenyon St, Seattle, WA 98126",98126,"M,T,W,TH",11:00am-1:00pm,47.53185089999999,-122.2907898
Chief Sealth International High School,Open,WA,"2600 Thistle St, Seattle, WA 98126",98126,"M,T,W,TH",11:00am-1:00pm,47.5282753,-122.3671819
West Seattle Elementary School,Open,WA,"6760 34th Ave, Seattle, WA 98126",98126,"M,T,W,TH",11:00am-1:00pm,,
West Seattle High School,Open,WA,"3000 California Ave, Seattle, WA 98116",98116,"M,T,W,TH",11:00am-1:00pm,47.5198855,-122.3883331
Lowell Elementary School,Open,WA,"1058 Mercer St, Seattle, WA 98102",98102,"M,T,W,TH",11:00am-1:00pm,47.6244096,-122.3051814
Bailey Gatzert Elementary School,Open,WA,"1301 Yesler Way, Seattle, WA 98122",98122,"M,T,W,TH",11:00am-1:00pm,47.6019789,-122.3317164
Thurgood Marshall Elementary School,Open,WA,"2401 Irving St, Seattle, WA 98144",98144,"M,T,W,TH",11:00am-1:00pm,47.5912508,-122.2939041
Meany Middle School,Open,WA,"301 21st Ave, Seattle, WA 98112",98112,"M,T,W,TH",11:00am-1:00pm,47.609066,-122.3050326
Seattle World School,Open,WA,"1700 E Un, St Seattle, WA 98122",98122,"M,T,W,TH",11:00am-1:00pm,47.6298287,-122.2879991
Catharine Blaine K-8,Open,WA,"2550 34th Ave, Seattle, WA 98199",98199,"M,T,W,TH",11:00am-1:00pm,,
McClure Middle School,Open,WA,"1915 1st Ave, Seattle, WA 98119",98119,"M,T,W,TH",11:00am-1:00pm,47.61150139999999,-122.34335
Eckstein Middle School,Open,WA,"3003 75th St, Seattle, WA 98115",98115,"M,T,W,TH",11:00am-1:00pm,,
Nathan Hale High School,Open,WA,"10750 30th Ave, Seattle, WA 98125",98125,"M,T,W,TH",11:00am-1:00pm,47.61040939999999,-122.2937774
Olympic Hills Elementary,Open,WA,"13018 20th Ave, Seattle, WA 98125",98125,"M,T,W,TH",11:00am-1:00pm,47.6100362,-122.3063264
Broadview-Thomson K-8,Open,WA,"13052 Greenwood Ave, Seattle, WA 98133",98133,"M,T,W,TH",11:00am-1:00pm,47.6907107,-122.3553345
Cedarvale Village,Open,WA,"11050 8th Ave, Seattle, WA 98125",98125,"M,T,W,TH",1:00 – 1:30 pm,47.6325435,-122.3408745
Jackson Park Village,Open,WA,"14374 30th Ave, Seattle, WA 98125",98125,"M,T,W,TH",12:00 – 12:30 pm,47.61040939999999,-122.2937774
Lake City Court,Open,WA,"12536 33rd Ave, Seattle, WA 98125",98125,"M,T,W,TH",11:00 – 11:30 am,47.6115198,-122.2903768
Robert Eagle Staff Middle School,Open,WA,"1330 90th St, Seattle, WA 98103",98103,"M,T,W,TH",11:00am-1:00pm,47.6942074,-122.344512
Shoreline Public Schools–Central Kitchen,Open,WA,"undefined Located inside Hamlin Park off of 15th Ave, Shoreline, WA undefined",,"M,T,W,TH",11:30-12:30pm,,
Shorewood High School,Open,WA,"17300 Fremont Ave, Shoreline, WA ",,"M,T,W,TH",11:30-12:30pm,,
Cascade View Elementary,Open,WA,"13601 32nd Ave, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,47.4535205,-122.2917127
Thorndyke Elementary,Open,WA,"4415 150th St, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,47.4688004,-122.2987488
Tukwila Elementary,Open,WA,"5939 149th St, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,47.46969439999999,-122.2595553
Tukwila Community Center,Open,WA,"12424 42nd Ave, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,47.4815739,-122.283074
Tukwila Pool,Open,WA,"4414 144th St, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,,
Saars Grocery,Open,WA,"3725 144th St, Tukwila, WA ",,"M,T,W,TH",10:00am-12:00pm,,
Captain Johnston Blakely Elementary School,Open,WA,"4704 Blakely Ave, Bainbridge Island, WA 98110",98110,"M,T,W,TH",11:00AM-12:00PM,47.6013589,-122.5344049
Ordway Elementary School,Open,WA,"8555 Madison Ave, Bainbridge Island, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Captain Charles Wilkes Elementary School,Open,WA,"12781 Madison Ave, Bainbridge Island, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Camas Prairie Elementary,Open,WA,"320 176th St, Bethel, WA 98387",98387,"M,T,W,TH",10:00AM-1:00PM,47.094812,-122.424245
Cougar Mountain Middle School,Open,WA,"5108 260th St, Bethel, WA ",,"M,T,W,TH",10:00AM-1:00PM,47.0201398,-122.3771087
Graham-Kapowsin High School,Open,WA,"7719 224th St, Bethel, WA 98387",98387,"M,T,W,TH",10:00AM-1:00PM,47.0518637,-122.3654485
North Star Elementary,Open,WA,"7719 224th St, Bethel, WA 98387",98387,"M,T,W,TH",10:00AM-1:00PM,47.0518637,-122.3654485
Roy Elementary ,Open,WA,"340 Peterson St, Bethel, WA 98367",98367,"M,T,W,TH",10:00AM-1:00PM,47.4941559,-122.6300717
Shining Mountain Elementary ,Open,WA,"21615 38th Ave, Bethel, WA 98387",98387,"M,T,W,TH",10:00AM-1:00PM,47.0587121,-122.3799917
Spanaway Lake High School,Open,WA,"1305 168th St, Bethel, WA ",,"M,T,W,TH",10:00AM-1:00PM,47.1037349,-122.2911068
Spanaway Middle School,Open,WA,"15701 B St, Bethel, WA 98387",98387,"M,T,W,TH",10:00AM-1:00PM,47.0924977,-122.4305376
Armin Jahr Elementary,Open,WA,"800 Dibb St, Bremerton, WA 98310",98310,"M,T,W,TH",10:00AM-12:00PM,47.59241979999999,-122.632048
Bremerton High School,Open,WA,"1500 13th St, Bremerton, WA ",,"M,T,W,TH",10:00AM-12:00PM,47.57282480000001,-122.6425844
Crownhill Elementary,Open,WA,"1500 Rocky Point Rd, Bremerton, WA ",,"M,T,W,TH",10:00AM-12:00PM,,
Kitsap Lake Elementary,Open,WA,"1111 Carr Blvd, Bremerton, WA 98310",98310,"M,T,W,TH",10:00AM-12:00PM,47.5829409,-122.6251543
Mountain View Middle School,Open,WA,"2400 Perry Ave, Bremerton, WA 98310",98310,"M,T,W,TH",10:00AM-12:00PM,47.5881103,-122.6134953
Naval Avenue Early Learning Center,Open,WA,"900 Olympic Ave, Bremerton, WA ",,"M,T,W,TH",10:00AM-12:00PM,47.5700029,-122.6490156
Renaissance High School,Open,WA,"3400 1st St, Bremerton, WA ",,"M,T,W,TH",10:00AM-12:00PM,47.5638026,-122.6590586
View Ridge Elementary Arts Academy,Open,WA,"3250 Spruce Ave, Bremerton, WA 98310",98310,"M,T,W,TH",10:00AM-12:00PM,47.5928732,-122.6277731
West Hills STEM Academy,Open,WA,"520 National Ave, Bremerton, WA 98312",98312,"M,T,W,TH",10:00AM-12:00PM,47.5655035,-122.667755
West Sound Technical Skills Center,Open,WA,"101 National Ave, Bremerton, WA 98312",98312,"M,T,W,TH",10:00AM-12:00PM,47.5655035,-122.667755
Washington Youth Academy,Open,WA,"1207 Carver St, Bremerton, WA 98312",98312,"M,T,W,TH",10:00AM-12:00PM,47.5537579,-122.6811845
Brownsville Elementary,Open,WA,"8795 Illahee Rd, Central Kitsap, WA 98311",98311,"M,T,W,TH",11:00AM-12:00PM,47.6128736,-122.5968054
Central Kitsap High School,Open,WA,"10140 Frontier Pl, Central Kitsap, WA 98383",98383,"M,T,W,TH",11:00AM-12:00PM,47.6561662,-122.7034899
Central Kitsap Middle School,Open,WA,"3850 Anderson Hill Rd, Central Kitsap, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.6617632,-122.7460507
Esquire Hills Elementary,Open,WA,"2650 John Carlson Rd, Central Kitsap, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.6321846,-122.6188813
Green Mountain Elementary,Open,WA,"3860 Boundary Trl, Central Kitsap, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.6199023,-122.7967863
Hawk Elementary at Jackson Park,Open,WA,"2900 Austin Dr, Central Kitsap, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Kiahowya Secondary,Open,WA,"7607 Newberry Hill Rd, Central Kitsap, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.6357295,-122.7362195
Olympic High,Open,WA,"7077 Stampede Blvd, Central Kitsap, WA 98311",98311,"M,T,W,TH",11:00AM-12:00PM,47.62440290000001,-122.66185
Operations Service Center,Open,WA,"9104 Dickey Rd, Central Kitsap, WA 98312",98312,"M,T,W,TH",11:00AM-12:00PM,47.5584748,-122.6763646
PineCrest Elementary (Bus pickup/dropoff loop),Open,WA,"5530 Pine Rd, Central Kitsap, WA 98311",98311,"M,T,W,TH",11:00AM-12:00PM,47.6130668,-122.6365207
Kingston Middle School,Open,WA,"9000 West Kingston Rd, North Kitsap, WA ",,"M,T,W,TH",11:00AM-12:30PM,47.768963,-122.6059028
Suquamish Elementary School,Open,WA,"18950 NE Park, North Kitsap, WA ",,"M,T,W,TH",11:00AM-12:30PM,,
Port Gamble S’Klallam Youth Center,Open,WA,"31850 Little Boston Rd, North Kitsap, WA 98346",98346,"M,T,W,TH",11:00AM-12:30PM,47.8523164,-122.5701457
Poulsbo Middle School,Open,WA,"2003 Hostmark St, North Kitsap, WA 98370",98370,"M,T,W,TH",11:00AM-12:30PM,47.7335518,-122.6313812
Vinland Elementary School,Open,WA,"22104 Rhododendron Ln, North Kitsap, WA ",,"M,T,W,TH",11:00AM-12:30PM,47.7737296,-122.6731902
Hilder Pearson Elementary,Open,WA,"15650 Central Valley Rd, North Kitsap, WA ",,"M,T,W,TH",11:00AM-12:30PM,47.6791746,-122.6498232
Manchester Elementary,Open,WA,"1901 California Ave, South Kitsap, WA ",,"M,T,W,TH",11:00AM-11:20AM,,
Marcus Whitman Middle School,Open,WA,"1887 Madrona Dr, South Kitsap, WA 98366",98366,"M,T,W,TH",11:00AM-11:20AM,47.53052049999999,-122.5989207
Cedar Heights Middle School,Open,WA,"2220 Pottery Ave, South Kitsap, WA ",,"M,T,W,TH",11:00AM-11:20AM,47.5211686,-122.6522751
Hidden Creek Elementary,Open,WA,"5455 Converse Rd, South Kitsap, WA 98367",98367,"M,T,W,TH",11:00AM-11:20AM,47.498782,-122.6195643
South Colby,Open,WA,"3281 Banner Rd, South Kitsap, WA ",,"M,T,W,TH",11:45AM-12:05PM,,
Orchard Heights Elementary,Open,WA,"2288 Fircrest Dr, South Kitsap, WA 98366",98366,"M,T,W,TH",11:45AM-12:05PM,47.5268683,-122.5977057
Sidney Glen Elementary,Open,WA,"500 Birch Rd, South Kitsap, WA ",,"M,T,W,TH",11:45AM-12:05PM,47.45416909999999,-122.6973625
Mullenix Ridge Elementary,Open,WA,"3900 Mullenix Rdg, South Kitsap, WA 98367",98367,"M,T,W,TH",11:45AM-12:05PM,47.4676503,-122.6034815
John Sedgwick Middle School,Open,WA,"8995 Sedgwick Rd, South Kitsap, WA 98366",98366,"M,T,W,TH",12:30PM-12:50PM,47.5058618,-122.531311
East Port Orchard Elementary,Open,WA,"2649 Hoover Ave, South Kitsap, WA 98366",98366,"M,T,W,TH",12:30PM-12:50PM,47.5229874,-122.6268506
Sunnyslope Elementary,Open,WA,"4813 Sunnyslope Rd, South Kitsap, WA ",,"M,T,W,TH",12:30PM-12:50PM,47.4905046,-122.7310412
Burley Glenwood Elementary,Open,WA,"100 Lakeway Blvd, South Kitsap, WA ",,"M,T,W,TH",12:30PM-12:50PM,47.43964620000001,-122.6544805
Olalla Elementary,Open,WA,"6100 Denny Bond Blvd, South Kitsap, WA ",,"M,T,W,TH",1:15PM-1:35PM,47.4324846,-122.5720574
Easton School Kitchen (Back door),Open,WA,"1893 Railroad St, Easton, WA ",,"M,T,W,TH,F",M&W 8:30AM-9:00AM,47.2335368,-121.1729704
Red Mountain Coffee (Snoqualmie Pass Coffee Shop),Open,WA,"773 WA undefined, Easton, WA ",,"M,T,W,TH,F",M&W 8:30AM-8:45AM,47.23706,-121.1789787
Bullfrog Mini-Mart,Open,WA,"4400 Bullfrog Rd, Easton, WA ",,"M,T,W,TH,F",M&W 10:00AM-10:15AM,47.180128,-121.031371
Morgan Middle School (Bus loading zone),Open,WA,"400 First Ave, Ellensburg, WA 98926",98926,"M,T,W,TH",11:30AM-1:00PM,46.9972986,-120.5442813
Kittitas Elementary School,Open,WA,"501 Pierce St, Kittitas, WA ",,"M,T,W,TH",11:00AM-12:00PM,46.9860877,-120.4189807
Ellensburg KOA Journey,Open,WA,"32 Thorp Hwy, Kittitas, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.0679018,-120.6711851
Auvil Fruit,Open,WA,"170 Gee Whiz Rd, Kittitas, WA ",,"M,T,W,TH",11:00AM-12:00PM,46.792998,-119.9456595
Whitson Elementary School,Open,WA,"450 Main St, White Salmon Valley , WA 98672",98672,"M,T,W,TH",8:00AM-10:00AM,45.729719,-121.4881864
Henkle Middle School,Open,WA,"480 NW Loop, White Salmon Valley , WA 98672",98672,"M,T,W,TH",8:00AM-10:00AM,45.729719,-121.4881864
Adna Middle/High School,Open,WA,"121 Adna School Rd, Adna School District, WA 98532",98532,"M,T,W,TH",10:30AM-12:30AM,46.63008989999999,-123.0569256
Chehalis Middle School,Open,WA,"1060 20th St, Chehalis School District, WA 98532",98532,"M,T,W,TH",11:00AM- 1:00PM,46.6510539,-122.9508405
Chehalis Bus Garage,Open,WA,"261 3rd St, Chehalis School District, WA 98532",98532,"M,T,W,TH",11:00AM- 1:00PM,46.6510539,-122.9508405
Doty General Store,Open,WA,"103 Main St, Pe Ell, WA 98572",98572,"M,T,W,TH,F",9:15AM,46.5738958,-123.2973084
Hwy 12 Texaco,Open,WA,"118 US undefined, Winlock, WA 98596",98596,"M,T,W,TH",10:00AM-11:00AM,46.4912176,-122.9378983
Tennessee Rd (Goods Quarry) lot,Open,WA,"699 Tennessee Rd, Winlock, WA 98596",98596,"M,T,W,TH",10:00AM-11:00AM,46.5018009,-122.9492007
Vader Post office,Open,WA,"621 A St, Winlock, WA 98596",98596,"M,T,W,TH",10:00AM-11:00AM,46.4912176,-122.9378983
Winlock Miller Elementary,Open,WA,"405 Benton Ave, Winlock, WA 98596",98596,"M,T,W,TH",10:00AM-11:00AM,46.4918098,-122.9405424
Winlock HS/MS,Open,WA,"241 Military Rd, Winlock, WA ",,"M,T,W,TH",10:00AM-11:00AM,46.4433547,-122.9339237
Davenport Middle School,Open,WA,"601 Washington St, Davenport, WA 99122",99122,"M,T,W,TH",9:00AM-11:00AM,47.6540456,-118.149973
Bus #’s 11 & 17,Open,WA,"Dawn Drive, Hwy 3 and Port of Allyn",,"M,T,W,TH",8:30AM – 8:45AM,,
Bus #’s 11 & 17,Open,WA,"undefined end of Grapeview Loop Rd to Nelsen Rd, Grapeview, WA undefined",,"M,T,W,TH",9:00AM-9:15AM,,
Bus #’s 11 & 17,Open,WA,"undefined Grapeview Loop Road  Nelsen Rd to Lombard Rd, Grapeview, WA undefined",,"M,T,W,TH",9:15AM-9:30AM,,
Bus #’s 11 & 17,Open,WA,"undefined Grapeview Loop Road  Lombard Rd to Stadium Bch, Grapeview, WA undefined",,"M,T,W,TH",9:30AM-9:45AM,,
Bus #’s 11 & 17,Open,WA,"undefined Grapeview Loop Road  Stadium Beach to Leffler Loop, Grapeview, WA undefined",,"M,T,W,TH",9:45AM-10:00AM,,
Bus #’s 11 & 17,Open,WA,"undefined Thomas Road to Clayton Ln, Grapeview, WA undefined",,"M,T,W,TH",10:00AM-10:15AM,,
Bus #’s 11 & 17,Open,WA,"undefined Krabbenhoft Fire Sta, Grapeview, WA undefined",,"M,T,W,TH",10:30AM,,
Bus #19,Open,WA,"undefined Mason Lake Drive W  Boat Launch to Mason Lake Rd, Grapeview, WA undefined",,"M,T,W,TH",9:00AM-9:20AM,,
Bus #19,Open,WA,"undefined Mason Lake Road to Mason Lake Dr, Grapeview, WA undefined",,"M,T,W,TH",9:20AM-9:30AM,,
Bus #19,Open,WA,"undefined Mason Lake Drive S to Mason Lake Dr, Grapeview, WA undefined",,"M,T,W,TH",9:30AM-9:45AM,,
Bus #19,Open,WA,"undefined Mason Lake Drive E to Benson Lake Dr, Grapeview, WA undefined",,"M,T,W,TH",9:45AM-10AM,,
Bus #19,Open,WA,"undefined Coleman Road to Anthony Rd, Grapeview, WA undefined",,"M,T,W,TH",10:00AM-10:15AM,,
Bus #19,Open,WA,"undefined Anthony Road to Hwy, Grapeview, WA undefined",,"M,T,W,TH",10:15AM-10:30AM,,
Sand Hill Elementary,Open,WA,"791 Sand Hill Rd, North Mason, WA ",,"M,T,W,TH",11:00AM-1:00PM,47.4716082,-122.8633864
Hawkins Middle School,Open,WA,"300 Campus Dr, North Mason, WA 98528",98528,"M,T,W,TH",11:00AM-1:00PM,47.41537719999999,-122.8399757
Belfair Elementary,Open,WA,"22900 WA undefined, North Mason, WA ",,"M,T,W,TH",11:00AM-1:00PM,47.4399923,-122.9461971
Pioneer Elementary School,Open,WA,"110 Spencer Lake Rd, Pioneer, WA ",,"M,T,W,TH",9:00AM-10:00AM,,
Shelton High School (Student Union Building (SUB)),Open,WA,"3737 Shelton Springs Rd, Shelton/Southside, WA 98584",98584,"M,T,W,TH",9:00AM-12:00PM,47.2278721,-123.113485
Bordeaux Elementary School,Open,WA,"350 University Ave, Shelton/Southside, WA 98584",98584,"M,T,W,TH",9:00AM-12:00PM,47.19864,-123.056014
Evergreen Elementary School,Open,WA,"900 Franklin St, Shelton/Southside, WA 98584",98584,"M,T,W,TH",9:00AM-12:00PM,47.2145118,-123.116284
Olympic Middle School,Open,WA,"800 K St, Shelton/Southside, WA 98584",98584,"M,T,W,TH",9:00AM-12:00PM,47.19864,-123.056014
Boys and Girls Club,Open,WA,"601 W Clf, Brewster, WA 98812",98812,"M,T,W,TH",9:30AM-11:00,48.0959784,-119.7806166
Brewster Middle School (near basketball court),Open,WA,"422 7th St, Brewster, WA 98812",98812,"M,T,W,TH",9:30AM-11:00AM,48.0946675,-119.7868151
Grand Coulee Dam Middle School,Open,WA,"412 Federal Ave, Grand Coulee Dam, WA 99116",99116,"M,T,W,TH",12:00PM-1:00PM,47.96644970000001,-118.9859695
Electric City Hall,Open,WA,"10 Western Ave, Grand Coulee Dam, WA 99133",99133,"M,T,W,TH",12:00PM-1:00PM,47.9402157,-119.0047124
Lake Roosevelt School,Open,WA,"905 Crest Dr, Grand Coulee Dam, WA 99116",99116,"M,T,W,TH",12:00PM-1:00PM,47.9718603,-118.9710385
Virginia Grainger Elementary (Main Entrance),Open,WA,"1118 5th Ave, Okanogon, WA 98840",98840,"M,T,W,TH",11:00AM – 1:00PM,48.3676716,-119.5803557
Okanogan Middle School and High School (Cafetorium Entrance),Open,WA,"244 5th Ave, Okanogon, WA 98840",98840,"M,T,W,TH",11:00AM-1:00PM,48.3676716,-119.5803557
Malott Improvement Club,Open,WA,"undefined Okanogon undefined, Okanogon, WA undefined",,"M,T,W,TH",11:30AM-12:30PM,,
North Elementary (cafeteria),Open,WA,"615 Oak St, Omak, WA 98841",98841,"M,T,W,TH",7:00AM-1:00PM,48.4154202,-119.5167773
East Elementary (cafeteria),Open,WA,"715 Omak Ave, Omak, WA ",,"M,T,W,TH",7:00AM-1:00PM,48.4109853,-119.5275506
Omak Middle/High School (cafeteria),Open,WA,"20 Cedar St, Omak, WA ",,"M,T,W,TH",7:00AM-1:00PM,,
Tonasket High School,Open,WA,"35 HS undefined, Tonasket, WA 98855",98855,"M,T,W,TH",7:30AM-10:00AM,48.70162149999999,-119.4344694
Rosburg Store,Open,WA,"4193 WA undefined, Naselle-Grays River Valley, WA 98638",98638,"M,T,W,TH,F",11:15AM,46.3766769,-123.8022065
Chinook Coffee Shop,Open,WA,"719 US undefined, Naselle-Grays River Valley, WA 98638",98638,"M,T,W,TH,F",11:20AM,46.3766769,-123.8022065
Stratton Elementary School,Open,WA,"1201 5th St, Newport, WA 99156",99156,"M,T,W,TH",11:00AM-12:00AM,48.1767147,-117.0418768
Columbia Junior High,Open,WA,"2901 54th Ave, Fife, WA 98424",98424,"M,T,W,TH",9:00-10:00am,47.2392756,-122.3570648
Discovery,Open,WA,"1205 19th Ave, Fife, WA 98354",98354,"M,T,W,TH",10:45-11:45am,47.2485663,-122.310072
Endeavour,Open,WA,"1304 17th Ave, Fife, WA 98354",98354,"M,T,W,TH",10:45-11:45am,47.245258,-122.312371
Fife High School,Open,WA,"5616 20th St, Fife, WA ",,"M,T,W,TH",9:00-10:00am,47.23895599999999,-122.3613278
Hedden Elementary,Open,WA,"11313 8th St, Fife, WA 98424",98424,"M,T,W,TH",10:45-11:45am,47.24998,-122.3503946
Surprise Lake Middle School,Open,WA,"2001 Milton Way, Fife, WA 98424",98424,"M,T,W,TH",9:45-10:45am,47.2383156,-122.3575392
121st St S and 8th Ave Court S,Open,WA,"121st St S & 8th Ave Ct S, Parkland",,"M,T,W,TH",11:00am-1:00pm,,
136th St E and 68th Ave E,Open,WA,"136th St E & 68th Ave E, South Hill",,"M,T,W,TH",11:00am-1:00pm,,
Aravia Apartments,Open,WA,"2300 Brookdale Rd, Franklin Pierce, WA 98444",98444,"M,T,W,TH",11:00am-1:00pm,47.1381907,-122.4403662
Bella on Canyon Apartments,Open,WA,"14115 Canyon Rd, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.1568359,-122.4078221
Brookdale Elementary,Open,WA,"611 132nd St, Franklin Pierce, WA 98444",98444,"M,T,W,TH",11:00am-1:00pm,47.1381907,-122.4403662
Canyon Park Apartments,Open,WA,"5617 112th St, Franklin Pierce, WA 98373",98373,"M,T,W,TH",11:00am-1:00pm,47.1548114,-122.3144166
Central Avenue Elementary,Open,WA,"4505 104th undefined, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
Christensen Elementary,Open,WA,"10232 Barnes Ln, Franklin Pierce, WA 98444",98444,"M,T,W,TH",11:00am-1:00pm,47.1636187,-122.4466073
Church for all Nations,Open,WA,"111 112th St, Franklin Pierce, WA 98373",98373,"M,T,W,TH",11:00am-1:00pm,47.1548114,-122.3144166
Collins Elementary,Open,WA,"4608 128th St, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.1568359,-122.4078221
Coventry Court Apartments (74th and 76th),Open,WA,"908 76th St Ct, Franklin Pierce, WA 98404",98404,"M,T,W,TH",11:00am-1:00pm,47.1876353,-122.4179742
Demark Apartments,Open,WA,"1707 74th St Ct, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,47.1901782,-122.4684861
Elmhurst Elementary,Open,WA,"420 133rd St, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.1568359,-122.4078221
Evergreen Baptist Church,Open,WA,"2915 92nd St, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,47.1735738,-122.3873971
Ford Middle School,Open,WA,"1602 104th St, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
Franklin Pierce High School,Open,WA,"11002 18th Ave, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
Harvard Elementary,Open,WA,"1709 85th St, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.18063470000001,-122.4055782
Heatherstone Apartments,Open,WA,"1809 105th St Ct, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.16037799999999,-122.398529
Hewins Early Learning Center,Open,WA,"12223 A St, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
James Sales Elementary,Open,WA,"11213 Sheridan Ave, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.1568359,-122.4078221
Lakeshore Apartments,Open,WA,"9615 18th Ave, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
Midland Elementary,Open,WA,"2300 105th St, Franklin Pierce, WA 98445",98445,"M,T,W,TH",11:00am-1:00pm,47.16037799999999,-122.398529
Rainier Vista Apartments,Open,WA,"4016 84th St, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,47.1808565,-122.3693758
Washington High School,Open,WA,"12420 Ainsworth Ave, Franklin Pierce, WA 98444",98444,"M,T,W,TH",11:00am-1:00pm,47.14342,-122.454988
Westminster Apartments,Open,WA,"10925 Park Ave, Franklin Pierce, WA ",,"M,T,W,TH",11:00am-1:00pm,,
Firgrove Elementary,Open,WA,"13918 Meridian Ave, Puyallup, WA ",,"M,T,W,TH",11:00-11:30am,47.1760077,-122.2934935
Steward Elementary,Open,WA,"426 4th Ave, Puyallup, WA ",,"M,T,W,TH",11:00-11:30am,,
Wildwood Elementary,Open,WA,"1601 26th Ave, Puyallup, WA ",,"M,T,W,TH",11:00-11:30am,,
Waller Road Elementary,Open,WA,"6312 Waller Rd, Puyallup, WA ",,"M,T,W,TH",11:00-11:30am,47.2050634,-122.3588511
Edgerton Elementary,Open,WA,"16528 127th Ave Ct, Puyallup, WA 98374",98374,"M,T,W,TH",11:00AM-12:00PM,47.121829,-122.260088
Hunt Elementary ,Open,WA,"12801 144th St, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1256755,-122.307615
Pope Elementary,Open,WA,"15102 122nd Ave, Puyallup, WA 98374",98374,"M,T,W,TH",11:00AM-12:00PM,47.1454607,-122.2628337
Ridgecrest Elementary,Open,WA,"12616 Shaw Rd, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1688231,-122.2532619
Sunrise Elementary,Open,WA,"2323 39th Ave, Puyallup, WA 98372",98372,"M,T,W,TH",11:00AM-12:00PM,47.174926,-122.24437
Brouillet Elementary,Open,WA,"17207 94th Ave, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1541507,-122.3039681
Carson Elementary,Open,WA,"8615 184th St, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,,
Dessie F. Evans Elementary,Open,WA,"7911 144th St, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1256755,-122.307615
Woodland Elementary,Open,WA,"7707 112th St, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.154878,-122.3206755
Zeiger Elementary,Open,WA,"13800 94th Ave, Puyallup, WA ",,"M,T,W,TH",11:00AM-12:00PM,47.1541507,-122.3039681
